"Notes"	"State"	"State Code"	"Year"	"Year Code"	Avg Fine Particulate Matter (µg/m³)
	"Alabama"	"01"	"2003"	"2003"	14.90
	"Alabama"	"01"	"2004"	"2004"	14.58
	"Alabama"	"01"	"2005"	"2005"	15.80
	"Alabama"	"01"	"2006"	"2006"	15.61
	"Alabama"	"01"	"2007"	"2007"	15.13
	"Alabama"	"01"	"2008"	"2008"	12.85
	"Alabama"	"01"	"2009"	"2009"	11.22
	"Alabama"	"01"	"2010"	"2010"	12.65
	"Alabama"	"01"	"2011"	"2011"	12.80
	"Arizona"	"04"	"2003"	"2003"	11.66
	"Arizona"	"04"	"2004"	"2004"	10.45
	"Arizona"	"04"	"2005"	"2005"	10.49
	"Arizona"	"04"	"2006"	"2006"	9.56
	"Arizona"	"04"	"2007"	"2007"	10.16
	"Arizona"	"04"	"2008"	"2008"	11.75
	"Arizona"	"04"	"2009"	"2009"	13.50
	"Arizona"	"04"	"2010"	"2010"	9.99
	"Arizona"	"04"	"2011"	"2011"	10.12
	"Arkansas"	"05"	"2003"	"2003"	12.59
	"Arkansas"	"05"	"2004"	"2004"	11.96
	"Arkansas"	"05"	"2005"	"2005"	13.76
	"Arkansas"	"05"	"2006"	"2006"	11.96
	"Arkansas"	"05"	"2007"	"2007"	12.38
	"Arkansas"	"05"	"2008"	"2008"	11.84
	"Arkansas"	"05"	"2009"	"2009"	11.04
	"Arkansas"	"05"	"2010"	"2010"	11.92
	"Arkansas"	"05"	"2011"	"2011"	11.76
	"California"	"06"	"2003"	"2003"	13.95
	"California"	"06"	"2004"	"2004"	13.45
	"California"	"06"	"2005"	"2005"	12.44
	"California"	"06"	"2006"	"2006"	11.56
	"California"	"06"	"2007"	"2007"	10.87
	"California"	"06"	"2008"	"2008"	11.72
	"California"	"06"	"2009"	"2009"	12.63
	"California"	"06"	"2010"	"2010"	8.96
	"California"	"06"	"2011"	"2011"	9.30
	"Colorado"	"08"	"2003"	"2003"	9.12
	"Colorado"	"08"	"2004"	"2004"	9.44
	"Colorado"	"08"	"2005"	"2005"	9.61
	"Colorado"	"08"	"2006"	"2006"	8.85
	"Colorado"	"08"	"2007"	"2007"	10.09
	"Colorado"	"08"	"2008"	"2008"	9.05
	"Colorado"	"08"	"2009"	"2009"	14.69
	"Colorado"	"08"	"2010"	"2010"	13.28
	"Colorado"	"08"	"2011"	"2011"	12.74
