"Notes"	"State"	"State Code"	"Year"	"Year Code"	Avg Daily Max Heat Index (C)
	"Alabama"	"01"	"2003"	"2003"	32.73
	"Alabama"	"01"	"2004"	"2004"	32.62
	"Alabama"	"01"	"2005"	"2005"	33.85
	"Alabama"	"01"	"2006"	"2006"	33.87
	"Alabama"	"01"	"2007"	"2007"	33.68
	"Alabama"	"01"	"2008"	"2008"	33.34
	"Alabama"	"01"	"2009"	"2009"	34.57
	"Alabama"	"01"	"2010"	"2010"	35.49
	"Alabama"	"01"	"2011"	"2011"	34.92
	"Arizona"	"04"	"2003"	"2003"	31.58
	"Arizona"	"04"	"2004"	"2004"	30.73
	"Arizona"	"04"	"2005"	"2005"	31.28
	"Arizona"	"04"	"2006"	"2006"	31.44
	"Arizona"	"04"	"2007"	"2007"	31.32
	"Arizona"	"04"	"2008"	"2008"	31.14
	"Arizona"	"04"	"2009"	"2009"	31.38
	"Arizona"	"04"	"2010"	"2010"	31.49
	"Arizona"	"04"	"2011"	"2011"	31.51
	"Arkansas"	"05"	"2003"	"2003"	33.69
	"Arkansas"	"05"	"2004"	"2004"	32.71
	"Arkansas"	"05"	"2005"	"2005"	34.88
	"Arkansas"	"05"	"2006"	"2006"	34.46
	"Arkansas"	"05"	"2007"	"2007"	33.89
	"Arkansas"	"05"	"2008"	"2008"	34.42
	"Arkansas"	"05"	"2009"	"2009"	35.21
	"Arkansas"	"05"	"2010"	"2010"	36.13
	"Arkansas"	"05"	"2011"	"2011"	36.28
	"California"	"06"	"2003"	"2003"	32.05
	"California"	"06"	"2004"	"2004"	31.33
	"California"	"06"	"2005"	"2005"	31.76
	"California"	"06"	"2006"	"2006"	32.10
	"California"	"06"	"2007"	"2007"	31.62
	"California"	"06"	"2008"	"2008"	31.71
	"California"	"06"	"2009"	"2009"	31.76
	"California"	"06"	"2010"	"2010"	31.63
	"California"	"06"	"2011"	"2011"	31.58
	"Colorado"	"08"	"2003"	"2003"	29.76
	"Colorado"	"08"	"2004"	"2004"	28.88
	"Colorado"	"08"	"2005"	"2005"	29.79
	"Colorado"	"08"	"2006"	"2006"	29.62
	"Colorado"	"08"	"2007"	"2007"	29.65
	"Colorado"	"08"	"2008"	"2008"	29.45
	"Colorado"	"08"	"2009"	"2009"	29.31
	"Colorado"	"08"	"2010"	"2010"	29.78
	"Colorado"	"08"	"2011"	"2011"	30.26
	"Connecticut"	"09"	"2003"	"2003"	31.99
	"Connecticut"	"09"	"2004"	"2004"	30.34
	"Connecticut"	"09"	"2005"	"2005"	31.86
	"Connecticut"	"09"	"2006"	"2006"	32.46
	"Connecticut"	"09"	"2007"	"2007"	31.06
	"Connecticut"	"09"	"2008"	"2008"	31.11
	"Connecticut"	"09"	"2009"	"2009"	30.93
	"Connecticut"	"09"	"2010"	"2010"	31.48
	"Connecticut"	"09"	"2011"	"2011"	31.53
	"Delaware"	"10"	"2003"	"2003"	32.11
	"Delaware"	"10"	"2004"	"2004"	30.81
	"Delaware"	"10"	"2005"	"2005"	32.16
	"Delaware"	"10"	"2006"	"2006"	32.65
	"Delaware"	"10"	"2007"	"2007"	31.85
	"Delaware"	"10"	"2008"	"2008"	31.26
	"Delaware"	"10"	"2009"	"2009"	30.92
	"Delaware"	"10"	"2010"	"2010"	32.88
	"Delaware"	"10"	"2011"	"2011"	32.63
	"District of Columbia"	"11"	"2003"	"2003"	32.68
	"District of Columbia"	"11"	"2004"	"2004"	31.47
	"District of Columbia"	"11"	"2005"	"2005"	32.97
	"District of Columbia"	"11"	"2006"	"2006"	33.26
	"District of Columbia"	"11"	"2007"	"2007"	32.25
	"District of Columbia"	"11"	"2008"	"2008"	31.65
	"District of Columbia"	"11"	"2009"	"2009"	31.11
	"District of Columbia"	"11"	"2010"	"2010"	34.01
	"District of Columbia"	"11"	"2011"	"2011"	33.44
	"Florida"	"12"	"2003"	"2003"	33.47
