"Dataset: Underlying Cause of Death, 1999-2017",,,,,,,
Query Parameters:,,,,,,,
Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44),,,,,,,
Group By: State; Year; Month,,,,,,,
Notes,State,State Code,Year,Year Code,Month,Month Code,Deaths
,Alabama,1,1999,1999,"Jan., 1999",1999/01,12
,Alabama,1,1999,1999,"Apr., 1999",1999/04,10
,Alabama,1,1999,1999,"Jun., 1999",1999/06,14
,Alabama,1,1999,1999,"Sep., 1999",1999/09,17
,Alabama,1,1999,1999,"Oct., 1999",1999/10,15
,Alabama,1,1999,1999,"Dec., 1999",1999/12,10
,Alabama,1,2000,2000,"Apr., 2000",2000/04,18
,Alabama,1,2000,2000,"May, 2000",2000/05,12
,Alabama,1,2000,2000,"Jun., 2000",2000/06,11
,Alabama,1,2000,2000,"Jul., 2000",2000/07,14
,Alabama,1,2000,2000,"Aug., 2000",2000/08,14
,Alabama,1,2000,2000,"Dec., 2000",2000/12,15
,Alabama,1,2001,2001,"Jan., 2001",2001/01,13
,Alabama,1,2001,2001,"Mar., 2001",2001/03,12
,Alabama,1,2001,2001,"Apr., 2001",2001/04,12
,Alabama,1,2001,2001,"May, 2001",2001/05,12
,Alabama,1,2001,2001,"Jun., 2001",2001/06,12
,Alabama,1,2001,2001,"Jul., 2001",2001/07,13
,Alabama,1,2001,2001,"Aug., 2001",2001/08,22
,Alabama,1,2001,2001,"Sep., 2001",2001/09,12
,Alabama,1,2001,2001,"Oct., 2001",2001/10,16
,Alabama,1,2001,2001,"Nov., 2001",2001/11,19
,Alabama,1,2001,2001,"Dec., 2001",2001/12,14
,Alabama,1,2002,2002,"Jan., 2002",2002/01,12
,Alabama,1,2002,2002,"Feb., 2002",2002/02,20
,Alabama,1,2002,2002,"Mar., 2002",2002/03,19
,Alabama,1,2002,2002,"Apr., 2002",2002/04,13
,Alabama,1,2002,2002,"May, 2002",2002/05,17
,Alabama,1,2002,2002,"Jun., 2002",2002/06,14
,Alabama,1,2002,2002,"Jul., 2002",2002/07,15
,Alabama,1,2002,2002,"Aug., 2002",2002/08,10
,Alabama,1,2002,2002,"Oct., 2002",2002/10,15
,Alabama,1,2002,2002,"Nov., 2002",2002/11,15
,Alabama,1,2002,2002,"Dec., 2002",2002/12,12
,Alabama,1,2003,2003,"Jan., 2003",2003/01,16
,Alabama,1,2003,2003,"Feb., 2003",2003/02,20
,Alabama,1,2003,2003,"Mar., 2003",2003/03,19
,Alabama,1,2003,2003,"Apr., 2003",2003/04,21
,Alabama,1,2003,2003,"May, 2003",2003/05,18
,Alabama,1,2003,2003,"Oct., 2003",2003/10,11
,Alabama,1,2003,2003,"Dec., 2003",2003/12,14
,Alabama,1,2004,2004,"Jan., 2004",2004/01,19
,Alabama,1,2004,2004,"Feb., 2004",2004/02,25
,Alabama,1,2004,2004,"Mar., 2004",2004/03,18
,Alabama,1,2004,2004,"Apr., 2004",2004/04,22
,Alabama,1,2004,2004,"May, 2004",2004/05,23
,Alabama,1,2004,2004,"Jun., 2004",2004/06,14
,Alabama,1,2004,2004,"Jul., 2004",2004/07,16
,Alabama,1,2004,2004,"Aug., 2004",2004/08,14
,Alabama,1,2004,2004,"Sep., 2004",2004/09,20
,Alabama,1,2004,2004,"Oct., 2004",2004/10,15
,Alabama,1,2004,2004,"Nov., 2004",2004/11,16
,Alabama,1,2004,2004,"Dec., 2004",2004/12,21
,Alabama,1,2005,2005,"Jan., 2005",2005/01,27
,Alabama,1,2005,2005,"Feb., 2005",2005/02,14
,Alabama,1,2005,2005,"Mar., 2005",2005/03,11
,Alabama,1,2005,2005,"Apr., 2005",2005/04,15
,Alabama,1,2005,2005,"May, 2005",2005/05,17
,Alabama,1,2005,2005,"Jun., 2005",2005/06,22
,Alabama,1,2005,2005,"Jul., 2005",2005/07,14
,Alabama,1,2005,2005,"Aug., 2005",2005/08,22
,Alabama,1,2005,2005,"Sep., 2005",2005/09,15
,Alabama,1,2005,2005,"Oct., 2005",2005/10,16
,Alabama,1,2005,2005,"Nov., 2005",2005/11,26
,Alabama,1,2005,2005,"Dec., 2005",2005/12,18
,Alabama,1,2006,2006,"Jan., 2006",2006/01,27
,Alabama,1,2006,2006,"Feb., 2006",2006/02,30
,Alabama,1,2006,2006,"Mar., 2006",2006/03,32
,Alabama,1,2006,2006,"Apr., 2006",2006/04,24
,Alabama,1,2006,2006,"May, 2006",2006/05,20
,Alabama,1,2006,2006,"Jun., 2006",2006/06,25
,Alabama,1,2006,2006,"Jul., 2006",2006/07,22
,Alabama,1,2006,2006,"Aug., 2006",2006/08,29
,Alabama,1,2006,2006,"Sep., 2006",2006/09,33
,Alabama,1,2006,2006,"Oct., 2006",2006/10,22
,Alabama,1,2006,2006,"Nov., 2006",2006/11,29
,Alabama,1,2006,2006,"Dec., 2006",2006/12,17
,Alabama,1,2007,2007,"Jan., 2007",2007/01,40
,Alabama,1,2007,2007,"Feb., 2007",2007/02,21
,Alabama,1,2007,2007,"Mar., 2007",2007/03,40
,Alabama,1,2007,2007,"Apr., 2007",2007/04,42
,Alabama,1,2007,2007,"May, 2007",2007/05,35
,Alabama,1,2007,2007,"Jun., 2007",2007/06,35
,Alabama,1,2007,2007,"Jul., 2007",2007/07,34
,Alabama,1,2007,2007,"Aug., 2007",2007/08,33
,Alabama,1,2007,2007,"Sep., 2007",2007/09,33
,Alabama,1,2007,2007,"Oct., 2007",2007/10,42
,Alabama,1,2007,2007,"Nov., 2007",2007/11,28
,Alabama,1,2007,2007,"Dec., 2007",2007/12,41
,Alabama,1,2008,2008,"Jan., 2008",2008/01,43
,Alabama,1,2008,2008,"Feb., 2008",2008/02,51
,Alabama,1,2008,2008,"Mar., 2008",2008/03,44
,Alabama,1,2008,2008,"Apr., 2008",2008/04,30
,Alabama,1,2008,2008,"May, 2008",2008/05,46
,Alabama,1,2008,2008,"Jun., 2008",2008/06,28
,Alabama,1,2008,2008,"Jul., 2008",2008/07,30
,Alabama,1,2008,2008,"Aug., 2008",2008/08,41
,Alabama,1,2008,2008,"Sep., 2008",2008/09,40
,Alabama,1,2008,2008,"Oct., 2008",2008/10,47
,Alabama,1,2008,2008,"Nov., 2008",2008/11,44
,Alabama,1,2008,2008,"Dec., 2008",2008/12,41
,Alabama,1,2009,2009,"Jan., 2009",2009/01,41
,Alabama,1,2009,2009,"Feb., 2009",2009/02,48
,Alabama,1,2009,2009,"Mar., 2009",2009/03,47
,Alabama,1,2009,2009,"Apr., 2009",2009/04,42
,Alabama,1,2009,2009,"May, 2009",2009/05,50
,Alabama,1,2009,2009,"Jun., 2009",2009/06,47
,Alabama,1,2009,2009,"Jul., 2009",2009/07,41
